session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
61aa87a9da8dcbd22ab20f3e,5fa6b9277c48963273a21fdc,APPROVED,2021-12-03 21:10:01.719000,2021-12-03 21:27:17.215000,1035.496,19,87,1,99,2021-12-03 21:59:34.153000,NOCODE,Italy,Italy,DATA EXPIRED,Italian,"Italian, English",Italy,Female,DATA EXPIRED
61aa87ad7bbad2bc0950b23b,6150ca3f37e1fe330f70311d,APPROVED,2021-12-03 21:10:05.710000,2021-12-03 21:19:25.477000,559.767,47,29,0,100,2021-12-03 21:59:34.250000,NOCODE,Portugal,Portugal,Other,Portuguese,"English, Portuguese",Portugal,Male,Yes
61aa87bb234c611fe7df6c30,5fecb656416cba997ea9cbfc,APPROVED,2021-12-03 21:10:19.224000,2021-12-03 21:17:43.376000,444.152,23,66,1,100,2021-12-03 21:59:34.346000,NOCODE,Portugal,Portugal,Other,Portuguese,"English, Portuguese",Portugal,Female,Yes
61aa87bf2b119142fb3826de,613f1aa1ce9f5db838450b5f,APPROVED,2021-12-03 21:12:30.485000,2021-12-03 21:21:45.077000,554.592,31,35,1,99,2021-12-03 21:59:34.433000,NOCODE,United Kingdom,United Kingdom,Other,English,English,United Kingdom,Female,No
61aa87bf5942e98ee14a1c82,5d29fa22affa880001f56278,APPROVED,2021-12-03 21:10:23.675000,2021-12-03 21:19:35.215000,551.54,24,75,1,100,2021-12-03 21:59:34.528000,NOCODE,Belgium,Belgium,Other,French,"English, French",Belgium,Male,Yes
61aa87c0920f23351539bdd3,60ba8928fd0f89a3acb9df34,APPROVED,2021-12-03 21:10:24.708000,2021-12-03 21:17:44.495000,439.787,19,45,1,99,2021-12-03 21:59:34.620000,NOCODE,Portugal,Portugal,Full-Time,Portuguese,"German, Portuguese, Spanish, English",Portugal,Female,Yes
61aa87c1c6aa036bbf6127da,613911528ef89bc7a1e8bdd0,RETURNED,2021-12-03 21:21:00.043000,,421212.583621,30,37,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
61aa87c37260bbeeba23faf0,5ecf7cc3f50eea1fbefda0fa,APPROVED,2021-12-03 21:10:35.442000,2021-12-03 21:48:10.793000,2255.351,23,88,0,100,2021-12-03 21:59:34.722000,NOCODE,Hungary,Hungary,DATA EXPIRED,DATA EXPIRED,"English, German, Hungarian",Hungary,Male,Yes
61aa87c7f11a5d69d2c4977d,6148cbe77831f3fafee1c7b7,APPROVED,2021-12-03 21:10:33.473000,2021-12-03 21:19:34.452000,540.979,21,20,2,92,2021-12-03 21:59:34.798000,NOCODE,Portugal,Portugal,Full-Time,Portuguese,"Portuguese, English",Portugal,Female,No
61aa87c8c555b7bcd0d8c100,5f1f51aa30da60148076cf06,APPROVED,2021-12-03 21:10:37.096000,2021-12-03 21:17:48.956000,431.86,20,73,0,100,2021-12-03 21:59:34.880000,NOCODE,France,France,Other,French,"English, French, Spanish",France,Female,Yes
61aa87c8cd9fcad77b31e8eb,5c735f3106f23500016d6c97,APPROVED,2021-12-03 21:11:06.086000,2021-12-03 21:22:45.358000,699.272,32,267,0,100,2021-12-03 21:59:34.964000,NOCODE,Netherlands,Netherlands,Unemployed (and job seeking),Dutch,"Dutch, English",Netherlands,Male,DATA EXPIRED
61aa87cac653902209f3eef3,6106c0aecdc0c01341f2bf2d,APPROVED,2021-12-03 21:10:41.005000,2021-12-03 21:19:46.905000,545.9,33,42,0,100,2021-12-03 21:59:35.051000,NOCODE,Spain,Spain,Full-Time,Spanish,"Catalan, English, Galician, Spanish",Spain,Female,No
61aa87cc540bc6c8014f3398,5d52f8d73826ad0019fb15ad,APPROVED,2021-12-03 21:10:36.294000,2021-12-03 21:17:46.083000,429.789,34,168,1,100,2021-12-03 21:59:35.142000,NOCODE,Czech Republic,Czech Republic,DATA EXPIRED,Czech,"English, Czech",Czech Republic,Female,No
61aa87cdc6aa036bbf6127dc,5f47cf4a3f1a490e43c58008,TIMED-OUT,2021-12-03 21:10:37.719000,,421835.766165,46,44,1,99,,,Portugal,Portugal,DATA EXPIRED,Portuguese,"Portuguese, English",Portugal,Male,Yes
61aa87cfe4616ec06ec14f8d,5f28855d177f1d1bd905662e,APPROVED,2021-12-03 21:10:44.292000,2021-12-03 21:19:24.561000,520.269,19,107,1,99,2021-12-03 21:59:35.247000,NOCODE,Portugal,Portugal,Full-Time,Portuguese,"English, Portuguese, Spanish",Portugal,Female,Yes
61aa8854c494004d996879e0,6166d81329fcc212c62228a2,APPROVED,2021-12-03 21:13:04.329000,2021-12-03 21:21:36.157000,511.828,22,20,0,100,2021-12-03 21:59:35.345000,NOCODE,Lebanon,Belgium,Unemployed (and job seeking),Arabic,"Arabic, English, French, Spanish",Lebanon,Prefer not to say,Yes
61aa8921422a26274449ad27,60972e1f9ab86fef7b07906c,APPROVED,2021-12-03 21:16:17.740000,2021-12-03 21:25:19.963000,542.223,20,39,0,100,2021-12-03 21:59:35.438000,NOCODE,Portugal,Portugal,Other,Portuguese,"English, Portuguese",Portugal,Female,Yes
61aa8a41d27275e64b4c2122,60175fe9be88ba2ad76ae887,APPROVED,2021-12-03 21:21:05.783000,2021-12-03 21:29:23.121000,497.338,19,51,2,98,2021-12-03 21:59:35.539000,NOCODE,Poland,Poland,DATA EXPIRED,Polish,"Polish, English",Poland,Male,DATA EXPIRED
61aa8c349e9b76596c4a5343,60ca018c98b9a0b8d5d9175d,APPROVED,2021-12-03 21:29:24.763000,2021-12-03 21:38:44.858000,560.095,21,45,0,100,2021-12-03 21:59:35.631000,NOCODE,Spain,Spain,Unemployed (and job seeking),Spanish,"English, Spanish",Spain,Female,No
61aa936deb94b4995b6dac6b,613a469755c08ab3b9d682ad,AWAITING REVIEW,2021-12-03 22:00:34.580000,2021-12-03 22:15:29.318000,894.738,24,71,0,100,,NOCODE,Mexico,Mexico,Full-Time,Spanish,"English, Spanish",Mexico,Female,No
61aa936df5d471777ebcdfca,60d9ddfed69a12f501cfbf64,AWAITING REVIEW,2021-12-03 22:00:13.252000,2021-12-03 22:44:57.755000,2684.503,19,75,0,100,,NOCODE,Poland,Poland,Unemployed (and job seeking),Polish,"Polish, English",Poland,Male,Yes
